image_filename,internal_label,confidence,taxonomy_status,json_file
fish_000006019596_03832.png,Acanthurus_nigrofuscus,0.9984,verified,5f1afb5cdc1524e29e8ebf84c28512f79ff39ee2f6975ae7e84279ac59606d00.json
fish_000013890001_01465.png,Acanthurus_nigrofuscus,0.9852,verified,41302a2c50cf884300a2fd15926ffd63a647112e54b6ae0b1cf8fee8a983a2d0.json
fish_000026190001_02549.png,Acanthurus_nigrofuscus,0.9958,verified,d89365d9a24d8b65c7bcc6b4e66d5ce6ecdc9e8e3484d5038c7804f449fae890.json
fish_000026190001_02552.png,Acanthurus_nigrofuscus,1.0000,verified,c355d5082e27804c03631df46018b90ffa98a1bc54aad23f251c77fb4dd284b1.json
fish_000026190001_02553.png,Acanthurus_nigrofuscus,0.9999,verified,fad03056e2bd8782f7f7964fe9c8169be9709898fcbfbe49983adf9185f96823.json
fish_000026310001_02570.png,Acanthurus_nigrofuscus,0.9956,verified,6ed87cf0b6e147e6e966318b6b5c9f5bcd8b8385fac0eebb90cd9284aaa6ba6d.json
fish_000026380001_02577.png,Acanthurus_nigrofuscus,0.9977,verified,ba7d29d7470e211ef4c9db8b8c53caa439a322106452539bb5faa36f8cb7d422.json
fish_000026380001_02582.png,Acanthurus_nigrofuscus,0.9973,verified,a1374fa0b27dc4f19d11c8f9aecc7b5bb8aba6da3835bc07a280be6297adda23.json
fish_000026380001_02591.png,Acanthurus_nigrofuscus,0.9974,verified,6b9b232563c89b385e2a72169a6aca4036eaa03560a548805cbf66648175e2d3.json
fish_000026470001_02613.png,Acanthurus_nigrofuscus,0.7003,verified,3a5a7422f4f14b58b687c97137cea3afaf1dab17ca7d3b5fbaeaf6e8d495be70.json
fish_000026630001_02678.png,Acanthurus_nigrofuscus,0.8736,verified,39b523c0831b6230b469066c70cf1008183a32ba5d8aa174b880dcf2e3c6f406.json
fish_000026940001_02775.png,Acanthurus_nigrofuscus,0.9793,verified,b0d73ce0759beb64de0dcca389b8c4b4431ec01b92d93e4351db5a937edb6692.json
fish_000026940001_02780.png,Acanthurus_nigrofuscus,0.9739,verified,fd62a19e5b04fd05f81a6037c6a86da2491c540b63f28c02125be48400f0f0b6.json
fish_000026940001_02785.png,Acanthurus_nigrofuscus,0.9908,verified,432c17ea763e204f77c59f7b6fba19401c6aa5522f80047d62226b2b72f2e0c4.json
fish_000026940001_02786.png,Acanthurus_nigrofuscus,0.9962,verified,ef0f373afaf269b665db8872bf65c011abc4259bfb072a43dd90dbd8fe878ef9.json
fish_000027230001_02858.png,Acanthurus_nigrofuscus,0.9534,verified,fda877a049a8094f4e3875eef65de422d1ab38570af22bd80607a52af4627cb8.json
fish_000027230001_02859.png,Acanthurus_nigrofuscus,0.9863,verified,d0f2b4c78c6e58d457bb0d5201384b48de3c287fdfd292236090a6261bdbe347.json
fish_000027230001_02863.png,Acanthurus_nigrofuscus,0.9986,verified,d615fa7f50e136e8e9da04f29913f7074b2e4e5e17fa31e09c703c7d796d3399.json
fish_000033940001_03184.png,Acanthurus_nigrofuscus,0.8666,verified,92146545fc42abc47d77bed40598bef2b5a94545cb9c5852e6d0c61de1de797a.json
fish_000034240001_03231.png,Acanthurus_nigrofuscus,0.9985,verified,971adeb14964b01593a990d447caa9af3dfa95b18eb6dcc5f98852d21e933b12.json
fish_002667000108_02684.png,Acanthurus_nigrofuscus,0.9974,verified,ec635bac0e5da5f8c2e476c616490ef9ccf1a0ff250642b77074ba39c19370da.json
