imageId,sourceDataset,confidence,createdAt,scientificName,authority
0be3a80bbc34364101b1cba3ba2b823fd59a8df5282900cf877d858204fc4bf3,Fish4Knowledge,1.0,2026-05-10T08:15:29.877107,Plectroglyphidodon dickii,"(Liénard, 1839)"
339811b253ecaf430dadb09f116a80eb5de5ab3017d69ea3fa4fd82a203d6bf9,Fish4Knowledge,1.0,2026-05-10T08:15:29.816162,Plectroglyphidodon dickii,"(Liénard, 1839)"
4007c26dc5532f4a4cd3a8f0ffad360637ab03d69487d8da1802372321bcfd72,Fish4Knowledge,1.0,2026-05-10T08:15:29.926952,Plectroglyphidodon dickii,"(Liénard, 1839)"
52b92d46624a4c54a13369d9aec766fc72a69646a62dbffc384dd57a5a121ac0,Fish4Knowledge,1.0,2026-05-10T08:15:29.868080,Plectroglyphidodon dickii,"(Liénard, 1839)"
5efedbb94ecab8187f4ab8a6d99239a2b2300016f1905b11790c13527e15dc5d,Fish4Knowledge,1.0,2026-05-10T08:15:29.858490,Plectroglyphidodon dickii,"(Liénard, 1839)"
7aac2f6969e83e97760e6c6b9d2c915be05159e55ee53a8728ec0beeb0816255,Fish4Knowledge,1.0,2026-05-10T08:15:29.910407,Plectroglyphidodon dickii,"(Liénard, 1839)"
910da304031abc4f5e67904c08057d5c17c2e286d94d80f5470e549be71183e6,Fish4Knowledge,1.0,2026-05-10T08:15:29.978319,Plectroglyphidodon dickii,"(Liénard, 1839)"
b594322dd0876af9575889c0e1282e218feeedde4de63278adbf4e63ef2195ae,Fish4Knowledge,1.0,2026-05-10T08:15:30.051124,Plectroglyphidodon dickii,"(Liénard, 1839)"
c79f815c06df0c30555d6717ad74a31dae16d0bd42c23b0b3aa3f622e540304c,Fish4Knowledge,1.0,2026-05-10T08:15:29.987383,Plectroglyphidodon dickii,"(Liénard, 1839)"
e31efab5d6470601c509b13f30c69a786439e3266b2a0e92ca57c9a2b67bfcc9,Fish4Knowledge,1.0,2026-05-10T08:15:30.028367,Plectroglyphidodon dickii,"(Liénard, 1839)"
ee00ac74ccf09b6b1bdd0e5b91de276c608dbda99aa9b5e4ec09e8489d6df863,Fish4Knowledge,1.0,2026-05-10T08:15:30.004231,Plectroglyphidodon dickii,"(Liénard, 1839)"
1d61d9b2acddf5c0a339e69852918151ce449771fd6211edbcef1975bcd74006,Fish4Knowledge,0.999999,2026-05-10T08:15:29.893031,Plectroglyphidodon dickii,"(Liénard, 1839)"
238b66f9af90f0ef1d6a0dbd18e19b3fc795aef4c25b0c752eee403203007402,Fish4Knowledge,0.999998,2026-05-10T08:15:29.884989,Plectroglyphidodon dickii,"(Liénard, 1839)"
abc4572da6116ea1996f2144e381f187c02372c22582ef221e2061296e2253fc,Fish4Knowledge,0.999998,2026-05-10T08:15:29.967113,Plectroglyphidodon dickii,"(Liénard, 1839)"
2d653f097908c9e865ecbb8f48912fd10af2641e9ade9e145e4f4b6b414486ee,Fish4Knowledge,0.999997,2026-05-10T08:15:29.995401,Plectroglyphidodon dickii,"(Liénard, 1839)"
8fb116039f28b2ede62d83b8bac5f3e632a54a1db6779e9dc4aca9722b2f14ce,Fish4Knowledge,0.999997,2026-05-10T08:15:30.020372,Plectroglyphidodon dickii,"(Liénard, 1839)"
742912e94c9ca5fa7abaa084392849bc7efc56615b2eefc72142275dc392ca52,Fish4Knowledge,0.999976,2026-05-10T08:15:30.011798,Plectroglyphidodon dickii,"(Liénard, 1839)"
8d0cfbe8d3b5c3684537b37450900f47be8283ab3a0482dbe8e4a7001929f4f5,Fish4Knowledge,0.999942,2026-05-10T08:15:30.036150,Plectroglyphidodon dickii,"(Liénard, 1839)"
c1556f3fe0d8b8433def407599c0d8d6d1dc38fe77dcc33f053e373aeefda040,Fish4Knowledge,0.999939,2026-05-10T08:15:29.942415,Plectroglyphidodon dickii,"(Liénard, 1839)"
0badea0b7486136fc1fe2e8e05c2b9d62b0616d80c074a24d2322c730b191bff,Fish4Knowledge,0.999798,2026-05-10T08:15:29.806982,Plectroglyphidodon dickii,"(Liénard, 1839)"
7a103637ca1219ee14cfb9520919a480eff3939e49a19b72a88b1557a2a20c10,Fish4Knowledge,0.999748,2026-05-10T08:15:29.850481,Plectroglyphidodon dickii,"(Liénard, 1839)"
1534e3543bd6483ff2de365fc2aed1964dbe7cc0c2a335423ac79155a7b29e70,Fish4Knowledge,0.999712,2026-05-10T08:15:29.918943,Plectroglyphidodon dickii,"(Liénard, 1839)"
52ca7b0d6e941df6d9896e38cba3a0fa6ac3de099e53c3b6128240797d21ab97,Fish4Knowledge,0.999711,2026-05-10T08:15:29.934675,Plectroglyphidodon dickii,"(Liénard, 1839)"
5faaf9a927e7414ca0bc06eb2699efa565a26c728c1f673ab1958d3496323648,Fish4Knowledge,0.998552,2026-05-10T08:15:29.903070,Plectroglyphidodon dickii,"(Liénard, 1839)"
2da7ee92ecc304be1afaa23326b34fec03c969cfb9ce5f44412c19aa4073f0a1,Fish4Knowledge,0.989,2026-05-10T08:15:29.949957,Plectroglyphidodon dickii,"(Liénard, 1839)"
8a002d2e6657ae0355babfaee6dd0ae986928ff37d18f23caedb4cdeb47d5986,Fish4Knowledge,0.982307,2026-05-10T08:15:29.834750,Plectroglyphidodon dickii,"(Liénard, 1839)"
0a1d27af38bc810fe5bf34f88f6999ad7bedecff7a1463d066e523d77d2ba0d1,Fish4Knowledge,0.845389,2026-05-10T08:15:29.957573,Plectroglyphidodon dickii,"(Liénard, 1839)"
